reviewID,userName,timestamp,reviewText,rating,dining/delivery type
229956861,Shiv Kushwaha,14 days ago,"I called the place 2 days before to reserve a table during an event and confirmed a table reservation with the appropriate charges to be paid. I followed up as well on the day of the event as well for the table confirmation and i was assured that it is confirmed . After clearing up my schedule for the day and travelling an hour to reach the place before time as i was advised , I was stopped at the entry by the management and was told that Ill not get a table. I called the number provided and they told me they will try and i might not get a table. But the management at the gate straight up refused to get me a table unless i paid an exorbitant price of 10k+ for 2 people. This utter mismanagement ruined my entire schedule for the day and night as well. Why bother taking a reservation? If people have to face this upon reaching the venue. A really mismanaged place with no chain of command.",1,dining
225247777,Priya,one month ago,Service of Neela was excellent. Great experience!,5,dining_order
225038281,Amanjit Kaur Ahuja,one month ago,excellent service and recommendations by Nila! Fantastic cocktails,5,dining_order
225003510,Akshay,one month ago,All good,5,dining_order
224750661,Judah,one month ago,They act like they're paying us to eat. They gave us water only after the bill and we had to beg for a table even though we had a reservation and the full place was empty ,1,dining_order
223737063,Sai Abishek,one month ago,"amazing spot, Nila provided a great service. would highly recommend. ",5,dining_order
222644170,Ashish,one month ago,Worst Service ever Doesn’t Know to talk with customers Zero Food taste Worst Less Place,1,dining
222231962,Satish Kumar,one month ago,nila provided great service! ,5,dining_order
221094493,Anjana,one month ago,"We had honey chilli lotus stem and it has half cooked and for the cost of that, we would have liked it better if it was cooked well!",2,dining_order
220246123,Rashmi Rajan,one month ago,"Awesome place ,Uber cool ambience ,loved the service here ,never fails to disappoint,Lokesh is very friendly and polite ,such an amazing vibe music is on point ..looking forward for more amazing evenings",5,dining
219103653,Divyadharshan,one month ago,Food was okay. Not too good.,3,dining_order
218679677,Dinesh R,one month ago,it shows 30% flat offer but got only 10% flat offer ,5,dining_order
217097749,Vignesh,one month ago,Ambiance was good and service provided Magesh is awesome. He suggested some signature dishes which is top notch,5,dining_order
216481295,Ashish Maurya,one month ago,They did not give table. They said on Zomato booking only entry is allowed . No table was given to us .,1,dining_order
216438131,Chirag,one month ago,"A private party was going on at the venue and therefore the cafe was not accepting walk-ins, even app booked tables. We were shifted to another restraunt which is co-owned by them at my best guess. It had one of the worst food I have ever had with a below average service and co-operation. The cafe should just put closed if they have a party booking because this is a scam in my opinion. You look for a place, research for it, book a table by giving advance money and then have to dine-in at a completely different place. This does not make sense to me.",1,dining_order
215240356,Sneha,2 months ago,"awesome place... lovely ambience.. excellent food.. a must try... we ordered fries, paneer money bags, hummus platter and bhoot jholka chicken...all were yummy. hummus platter and fries had good portion size. drinks were decent . I recommend this place.. ",4,dining_order
214720259,Sanjay S,2 months ago,good service by Nila,5,dining_order
214518710,Vini,2 months ago,Love this place ♥️,5,dining_order
214039390,Devipriya,2 months ago,offer is not available at all time,4,dining_order
213567068,Lohith Aksha,2 months ago,Nila took care of us really well and attended us to our needs,5,dining_order
212491360,Shrishma,2 months ago,"Everything was good , service was so good , but i would rate only one because of the manager named karuppu , he doesn’t know to treat the customer, he have his great attitude, thank you 🥱",2,dining
212490561,Shrishma,2 months ago,"Everything was good , but i would rate only one because of the attitude of the manager name called karuppu , He should know how to treat the customer first . Thank you ❤️",1,dining_order
211999130,Praka,2 months ago,they dint encourage booking table through Zomato told can use table until reserved person comes and occupies. once the other person comes we need to use bar counter. that was one bad experience for someone looking forward to spend time in a good pub. food was just average. nothing great.<br/>besides they dint give us a seat at the rooftop.,1,dining_order
211888364,Dikshita,2 months ago,"Overpriced, but great food. Nila was an amazing host.",5,dining_order
210405724,Shreya,2 months ago,Horrible service by the restaurant team.,1,dining_order
209574164,Priyanka Giri,2 months ago,The ambience and everything is good but the food is okay,1,dining_order
208226346,Chahna,2 months ago,"Great place, great vibes, Nila was extremely courteous and helpful while taking our order!",5,dining_order
208211193,Foodtalkchennai,2 months ago,Nila was the best person to serve us in secret storey. Highly recommend,5,dining_order
207244184,Valli Kannamma,3 months ago,good service by Nila,5,dining_order
206923508,Ayesha Anjum,3 months ago,Bishal and Nila were the best host. The appetisers and mock tails were top notch!,5,dining_order
206773891,Jonya Aphi,3 months ago,Very good experience.    Nice service <br/><br/>Thanks to bishal,5,dining_order
206497717,Vivian Lawrence,3 months ago,"Nila, great host! ",5,dining_order
206491204,Teresina Devotta,3 months ago,Great ambiance that sets up the vibe. The food was sumptuous and good mocktail options as well. Nila was very courteous and catered to our needs well. ,5,dining_order
206490683,Harishnarayanan R,3 months ago,The food was awsome  and good service provided by nila ,5,dining_order
206416934,Anitha,3 months ago,Nina attended to us very well and food is awesome,5,dining_order
206409171,Sudiksha,3 months ago,Nila is good with her service,5,dining_order
206403001,Pranav Rao,3 months ago,Neela was a great host,5,dining_order
206402210,Akash Karthik,3 months ago,Food was good. Nila took care of us as well. Will be back. Cheers🕺,5,dining
206251783,Noel John K,3 months ago,Good service. Nila was really nice. Her customer service was really appreciative.,5,dining_order
206206671,Yashwanth Raj,3 months ago,Amazing food and amazing service by Nila. Truly a wholesome experience.,5,dining_order
205698313,John Mota,3 months ago,"It was good! Nila was the waitress, who was very polite & quick.",5,dining_order
205583387,Anandh,3 months ago,Nila has been too kind and nice,5,dining_order
205578538,Kt_matthew,3 months ago,Thanks Nila for that great experience.. great vibe..,5,dining_order
205565753,Vijay,3 months ago,"Welcome staff and manager was rude enough to convey that people without shoes are not allowed inside. Just don't think there there is other side of this story. This is the treatment what people will get based on looks.<br/>Just a point to restaurant, Make sure next time you learn to treat people well.",1,dining
205236795,Piyush Mohta,3 months ago,Too costly and food's quantity is very less,3,dining_order
204505197,Mubeen,3 months ago,music was too loud. food was okay. overall average experience. ,3,dining_order
202211139,Kinish Rathi,3 months ago,Very disappointed,2,dining_order
201888137,Kevin Jacob - Raja Sekar,3 months ago,waitress and the front desk officer were kind,5,dining_order
199197094,Anju Wariah,3 months ago,Nice place and good food and service.Had a great time .,5,dining_order
